"","Text"
"1","LP:[function(t,e){function n(t,e,n){return r.listeners(t).length?r.emit(t,e,n):void(r.q&&(r.q[t]||(r.q[t]=[]),r.q[t].push(e)))}var r=t(""ee"").create();e.exports=n,n.ee=r,r.q={}},{ee:""QJf3ax""}],handle:[function(t,e){e.exports=t(""D5DuLP"")},{}],XL7"
"2","Mods:</p><p>Good evening, I'm John Dickerson of CBS News in Des Moines, Iowa.  The debate you've tuned in to see tonight is a symbol of the freedom we all cherish.  Last night the world watched in horror as freedom was savagely attacked in the heart of Paris.  At least 129 people were killed and many more wounded in a coordinated series of terror attacks.  Tonight, as France mourns, so does America.</p><p>So before we begin tonight's second debate with these candidates for the Democratic presidential nomination we ask you to join us in observing a moment of silence.  (LONG PAUSE) Now please welcome to Drake University Former Secretary of State Hillary Clinton, (CHEERING) (UNINTEL), Senator Bernie Sanders of Vermont.  (CHEERING) and-- and Martin O'Malley, the former governor of Maryland.  (CHEERING)</p><p>Joining me in the questioning tonight are CBS News congressional correspondent, Nancy Cordes, anchor Kevin Cooney of our CBS Des Moines affiliate, KCCI and political columnist, Kathie Obradovich of The Des Moines Register.  (APPLAUSE) Twitter is another of our partners for this debate.  Tweets will help us follow the reactions to what the candidates say.  So please send us your comments using the hashtag DemDebate.  And we'll begin in just a moment.</p><p>(COMMERCIAL NOT TRANSCRIBED)</p><p>MARTIN O'"
"3","MALLEY:</p><p>This is a people's campaign.</p><p>HILLARY "
"4","CLINTON:</p><p>I am a real person with all the pluses and minuses that go along with that.</p><p>BERNIE "
"5","SANDERS:</p><p>(UNINTEL) your own hardware</p><p>HILLARY "
"6","CLINTON:</p><p>I'm running for (UNINTEL).</p><p>MARTIN O'"
"7","MALLEY:</p><p> The American people are sick and tired of hearing about the damn unit (?).  (LAUGHTER)</p><p>HILLARY "
"8","CLINTON:</p><p>We are dead wrong for 21st century America.  We're going forward, we're not going back.</p><p>JOHN "
"9","Mods:</p><p>Before we-- before we start the debate here are the rules.  The candidates have one minute to respond to our questions and 30 seconds to respond to our follow-up.  Any candidate who is attacked by another candidate gets 30 seconds for rebuttal.  Here's how we'll keep time, after a question is asked the green light goes on.  When there are 15 seconds left the candidate gets a yellow warning light.</p><p> And when time's up the light turns red.  That means stop talking.  (LAUGHTER) Those are the rules.  So let's get started.  You will each have one minute for an opening statement to share your thoughts about the attacks in your Paris and lay out your visions for America.  First, Senator Sanders.</p><p>BERNIE "
"10","SANDERS:</p><p>Well, John, let me concur with you and with all Americans who are shocked and disgusted by what we saw in Paris yesterday.  Together, leading the world this country will rid our planet of this barbarous organization called ISIS.  I'm running for president because as I go around this nation I talk to a lotta people.  And what I hear is people concerned that the economy we have is a rigged economy.</p><p>People are working longer hours for lower wages.  And (UNINTEL) income and wealth goes to the top 1%.  And then on top of that we got a corrupt campaign finance system in which millionaires and billionaires are (UNINTEL) use some of the money into super packs heavily influencing the political process.  What my campaign is about is a political revolution.  Millions of people standing up and saying, ""Enough is enough.  Our government belongs to all of us and not just a handful of billionaires.""</p><p>JOHN "
"11","Mods:</p><p>All right, Senator Sanders.  Secretary Clinton.</p><p>HILLARY "
"12","CLINTON:</p><p>Well, our prayers are with the people of France tonight.  But that is not enough.  We need to have a resolve that will bring the world together to root out the kind of radical jihadist ideology that motivates organizations like ISIS, the barbaric, ruthless, violence jihadist, terrorist group.</p><p>This election is not only about electing a president.  It's also about choosing our next commander in chief.  And I will be laying out in detail what I think we need to do with our friends and allies in Europe and elsewhere to do a better job of coordinating efforts against the scourge of terrorism.  Our country deserves no rest because all of the other issues we wanna deal with depends on us being secure and strong.</p><p>JOHN "
"13","Mods:</p><p>Governor O'Malley.</p><p>MARTIN O'"
"14","MALLEY:</p><p>My heart, like all of us in this room, John, and all the people across our country-- my hearts go out to the people of France in this moment of loss, parents and-- and-- and sons and daughters and family members.  And-- as our hearts go out and as our prayers go out to them we must remember this, that this isn't a new face of conflict and warfare, not in the 20th century but the new face of conflict of warfare in the 21st century.</p><p>And there is no nation on the planet better able to adapt to this change than our nation.  We must be able to work collaboratively with others.  We must anticipate these threats before they happen.  This is the new sort of challenge, the new sort of threat that does, in fact, require new thinking, fresh approaches and new leadership.  As a former mayor and a former governor, there was never a single day, John, when I went to bed or woke up without realizing that this could happen in our own country.  We have a lot of work to do to better prepare our nation and to better lead this world into this new century.</p><p>JOHN "
"15","Mods:</p><p>All right, thank you, governor, thank all of you.  The terror attacks last night underscored the biggest challenge facing the next President of the United States.  At a time of crisis the country and the world look to the president for leadership and for answers.  So Secretary Clinton, I'd like to start with you, hours before the attacks, President Obama said, ""I don't think ISIS is gaining strength.""  72% of Americans think the fight against ISIS is going badly.  Won't the legacy of this administration which is-- which you were a part of-- won't that legacy be that it underestimated the threats from ISIS?</p><p>HILLARY "
"16","CLINTON:</p><p>Well, John I think that-- we have to look at ISIS as the leading threat of an international terror network.  It cannot be contained, it must be defeated.  There is no question in my mind that if we summon our resources, both our leadership resources and all of the tools at our disposal, not just military force which should be used as a last resort, but our diplomacy, our development aid, law enforcement, sharing of intelligence in a much more-- open and cooperative way-- that we can bring people together.</p><p>But it cannot be an American fight.  And I think what the president has consistently said-- which I agree with-- is that we will support those who take the fight to ISIS.  That is why we have troops in Iraq that are helping to train and build back up the Iraqi military, why we have special operators in Syria working with the Kurds and Arabs so that we can be supportive.  But this cannot be an American fight, although American leadership is essential.</p><p>JOHN "
"17","Mods:</p><p>But-- Secretary Cli-- Clinton, the question's about what-- was ISIS underestimated.  And I'll-- I'll just ask-- the president referred to ISIS as the JVU in a speech, the council in foreign relations in June of 2014 said, ""I could not have predicted the extent to which ISIS could be effective in seizing cities in Iraq.""  So you've got prescriptions for the future.  But how-- how do we know if those prescriptions are any good if you missed it in the past?</p><p>HILLARY "
"18","CLINTON:</p><p>Well, John, look, I think that what happened when we abided by the agreement that George W. Bush-- made with the Iraqis to leave-- by 2011 is that an Iraqi army was left that had been trained and that was prepared to defend Iraq.  Unfortunately, Nouri al-Maliki, the prime minister, set about decimating it.</p><p>And then with the revolution against Assad-- and I did early on say we needed to try to find a way to train and equip moderates very early so that we would have a better idea of how to deal with Assad because I thought there would be-- extremist groups filling the vacuum.</p><p>So, yes, this has developed.  I think that there are many other reasons why it has in addition-- to what's happened in the region.  But I don't think that the United States-- has the bulk of the responsibility.  I really put that on Assad and on the Iraqis and on the region itself.</p><p>JOHN "
"19","Mods:</p><p>Okay, Governor O'Malley would you critique the administration's response to ISIS?  If the United States doesn't lead (UNINTEL)?</p><p>MARTIN O'"
"20","MALLEY:</p><p>John, I would-- I would disagree with-- with Secretary Clinton, respectfully, on this score.  This actually is America's fight.  It cannot solely be America's fight.  America is best when we work in collaboration with our allies.  America is best when we are actually standing up to evil in this world.</p><p>And ISIS, make no mistake about it, is an evil in this world.  ISIS has brought down a Russian airliner.  ISIS is now attacked the western democracy in-- in France.  And we do have a role in this.  Not solely ours.  But we must work collaboratively with other nations.  The great failing of these last ten or 15 years, John, has been our failing of human intelligence on the ground.  Our world in the world is not to roam the globe looking for new dictators to topple.  Our role in the world is to make ourselves a beacon of hope, make ourselves stronger at home.</p><p>But also our role in the world, yes, is also to confront evil when it rises.  We took out the save haven in Afghanistan but now there is undoubtedly a larger safe haven.  And we must rise to this occasion in collaboration and with alliances to confront it.  And invest in the future much better human intelligence so we know what the next steps are.</p><p>JOHN "
"21","Mods:</p><p>Senator Sanders, you said you wanna rid the planet of ISIS.  In the previous date you said the greatest threat to national security was climate change.  Do you still believe that?</p><p>BERNIE "
"22","SANDERS:</p><p>Absolutely.  In fact, climate change is directly related to the growth of terrorism.  And if we do not get our act together and listen to what the scientists say you're gonna see countries all over the world-- this is what the C.I.A. says, they're gonna be struggling over limited amounts of water, limited amounts of land to grow their crops.  And you're gonna see all kinds of international conflict.</p><p>But of course international terrorism is a major issue that we've got to address today.  And I agree with much of what-- the secretary and-- and the governor have said.  Only have one area of-- of disagreement with the secretary.  I think she said something like,  ""The bulk of the responsibility is not ours.""</p><p>Well, in fact, I would argue that the disastrous invasion of Iraq, something that I strongly opposed, has unraveled the region completely.  And led to the rise of Al Qaeda-- and to-- ISIS.  Now, in fact, what we have got to do-- and I think there is widespread agreement here-- 'cause the United States cannot do it alone.  What we need to do is lead an international coalition which includes-- very significantly-- (UNINTEL) nations in that region are gonna have to fight and defend their way of life.</p><p>JOHN "
"23","Mods:</p><p>Quickly just-- let me ask you-- follow up on that, Senator Sanders, when you said the disastrous vote (?) on Iraq-- let's just be clear about what you're saying, you're saying Secretary Clinton-- who was then Senator Clinton-- voted for the Iraq war.  And are you making a direct link between her vote for that or-- and what's happening now for ISIS?  Just so everybody--</p><p>(OVERTALK)</p><p>BERNIE "
"24","SANDERS:</p><p>Oh I don't think any-- I don't think any sensible person would disagree that the invasion of Iraq led to the massive level of instability we are seeing right now.</p><p>(OVERTALK)</p><p>BERNIE "
"25","SANDERS:</p><p>I think that was one of the worst foreign policy plunders in the modern history of United States.</p><p>JOHN "
"26","Mods:</p><p>All right, let's let Secretary Clinton respond to that.</p><p>HILLARY "
"27","CLINTON:</p><p>Thank you, John, well, I think it's important we put this in historic context.  United States has unfortunately been victimized by terrorism going back decades.  In the 1980s it was in Beirut, Lebanon under President Reagan's administration and 258 Americans, marines, embassy personnel and others were-- murdered.</p><p>We also had attacks on two of our embassies in-- Tanzania and Kenya-- when my husband was president.  Again, Americans murdered.  And then of course 9/11 happened which happened before there was an invasion of Iraq.  I have said the invasion of Iraq was a mistake.  But I think if we're ever gonna really tackle the problems posed by jihadi extreme terrorism we need to understand it and realize that it had-- ans-- and (UNINTEL) to what happened in Iraq and we have to continue to be vigilant about it.</p><p>JOHN "
"28","Mods:</p><p>Senator Sanders, let me just follow this line of thinking.  You've criticized then Senator Clinton's vote.  Do you have anything to criticize in the way she performed as secretary of state?</p><p>BERNIE "
"29","SANDERS:</p><p>I think we have a disagreement.  And-- the disagreement is that not only did I vote against the war in Iraq, if you look at history, John, you will find that regime change-- whether it was in the early '50s in Iran, whether it was toppling Salvador Allende in Chile or whether it was overthrowing the government Guatemala way back when-- these invasions, these-- these toppling of governments, regime changes have unintended consequences.  I would say that on this issue I'm a little bit more conservative than the secretary.</p><p>JOHN "
"30","Mods:</p><p>All right.</p><p>BERNIE "
"31","SANDERS:</p><p>And that I am not a great fan of regime changes.</p><p>JOHN "
