"","Text"
"1","SPEAKERS:  SEN. MARCO RUBIO, R-FLA.</p><p>    SEN. TED CRUZ, R-TEXAS</p><p>    SEN. RAND PAUL, R-KY.</p><p>    GOV. CHRIS CHRISTIE, R-N.J. </p><p>  GOV. SCOTT WALKER, R-WIS.</p><p>    GOV. JOHN R. KASICH, R-OHIO</p><p>    DONALD TRUMP</p><p>    FORMER GOV. JEB BUSH, R-FLA.</p><p>    DR. BEN CARSON</p><p>    FORMER GOV. MIKE HUCKABEE, R-ARK.</p><p>    BRET BAIER, FOX NEWS CHANNEL ANCHOR</p><p>    MEGYN KELLY, FOX NEWS CHANNEL ANCHOR</p><p>    CHRIS WALLACE, FOX NEWS CHANNEL ANCHOR</p><p>   [*]  "
"2","Mods:  It is nine p.m. on the East Coast, and the moment of truth has arrived. </p><p>   "
"3","Mods:  Welcome to the first debate night of the 2016 presidential campaign, live from Quicken Loans Arena in Cleveland, Ohio.</p><p>   I'm Megyn Kelly...</p><p>   (APPLAUSE)</p><p>   ... along with my co-moderators, Brett Baier and Chris Wallace.</p><p>   Tonight...</p><p>   (APPLAUSE)</p><p>   Nice.  </p><p>   Tonight, thousands of people here in the Q, along with millions of voters at home will get their very first chance to see the candidates face off in a debate, answering the questions you want answered.</p><p>   "
"4","Mods:  Less than a year from now, in this very arena, one of these 10 candidates or one of the seven on the previous debate tonight will accept the Republican party's nomination.</p><p>   (APPLAUSE)</p><p>   Tonight's candidates were selected based on an average of five national polls.  Just a few hours ago, you heard from the candidates ranked 11th through 17.  And now, the prime-time event, the top 10. </p><p>   "
"5","WALLACE:  Also of note, Fox News is partnering for tonight's debate with Facebook.  For the past several weeks, we've been asking you for questions for the candidates on Facebook.  Nearly 6 million of you, 6 million, viewed the debate videos on our site, and more than 40,000 of you submitted questions: some of which you will hear us asking the candidates tonight.</p><p>   "
"6","Mods:  As for the candidates who will be answering those questions?  Here they are.</p><p>   Positioned on the stage by how they stand in the polls, in the center of the stage tonight, businessman Donald Trump.</p><p>   (APPLAUSE)</p><p>   Former Florida Governor Jeb Bush.</p><p>   (APPLAUSE)</p><p>   Wisconsin Governor Scott Walker.</p><p>   (APPLAUSE)</p><p>   Former Arkansas Governor Mike Huckabee.</p><p>   (APPLAUSE)</p><p>   "
"7","Mods:  Neurosurgeon, Dr. Ben Carson.</p><p>   (APPLAUSE)</p><p>   Texas Senator Ted Cruz.</p><p>   (APPLAUSE)</p><p>   Florida Senator Marco Rubio.</p><p>   (APPLAUSE)</p><p>   "
"8","WALLACE:  Kentucky Senator Rand Paul.</p><p>   (APPLAUSE)</p><p>   New Jersey Governor Chris Christie.</p><p>   (APPLAUSE)  And your very own governor of Ohio...</p><p>   (APPLAUSE)</p><p>   ... John Kasich.</p><p>   (APPLAUSE)</p><p>   "
"9","WALLACE:  Brett -- Brett, I think you would call that a home field advantage.</p><p>   "
"10","Mods:  It might be.  It might be.  We'll see.</p><p>   (UNKNOWN):  Is this in the rules?  An objection's coming.</p><p>   "
"11","Mods:  It might be.  The rules for tonight are simple.  One minute for answers, 30 seconds for follow-ups.  And if a candidate runs over, you'll hear this.</p><p>   Pleasant, no?</p><p>   We also have a big crowd here with us tonight in the home of the Cavaliers, as I mentioned.</p><p>   And while we expect them...</p><p>   (APPLAUSE)</p><p>   ... we expect them to be enthusiastic, as you heard, we don't want to take anything away from the valuable time for the candidate. So, we're looking for somewhere between a reaction to a LeBron James dunk and the Cleveland Public Library across the street.</p><p>   (LAUGHTER)</p><p>   Somewhere there, we'll find a balance tonight.</p><p>   Without further ado, let's begin. </p><p>   "
"12","Mods:  Gentlemen, we know how much you love hand-raising questions.  So we promise, this is the only one tonight: the only one. Is there anyone on stage, and can I see hands, who is unwilling tonight to pledge your support to the eventual nominee of the Republican party and pledge to not run an independent campaign against that person.</p><p>   Again, we're looking for you to raise your hand now -- raise your hand now if you won't make that pledge tonight.</p><p>   Mr. Trump.</p><p>   (BOOING)</p><p>   Mr. Trump to be clear, you're standing on a Republican primary debate stage.</p><p>   "
"13","TRUMP:  I fully understand.</p><p>   "
"14","Mods:  The place where the RNC will give the nominee the nod.</p><p>   "
"15","TRUMP:  I fully understand.</p><p>   "
"16","Mods:  And that experts say an independent run would almost certainly hand the race over to Democrats and likely another Clinton.</p><p>   You can't say tonight that you can make that pledge? </p><p>   "
