"","Text"
"1","   It is nine p.m. on the East Coast, and the moment of truth has arrived.     "
"2","   Welcome to the first debate night of the 2016 presidential campaign, live from Quicken Loans Arena in Cleveland, Ohio.    I'm Megyn Kelly...         Nice.      Tonight, thousands of people here in the Q, along with millions of voters at home will get their very first chance to see the candidates face off in a debate, answering the questions you want answered.    "
"3","   Less than a year from now, in this very arena, one of these 10 candidates or one of the seven on the previous debate tonight will accept the Republican party's nomination.         Tonight's candidates were selected based on an average of five national polls.  Just a few hours ago, you heard from the candidates ranked 11th through 17.  And now, the prime-time event, the top 10.     "
"4","   As for the candidates who will be answering those questions?  Here they are.    Positioned on the stage by how they stand in the polls, in the center of the stage tonight, businessman Donald Trump.         "
"5","   Neurosurgeon, Dr. Ben Carson.         "
"6","   It might be.  It might be.  We'll see.     :  Is this in the rules?  An objection's coming.    "
"7","   It might be.  The rules for tonight are simple.  One minute for answers, 30 seconds for follow-ups.  And if a candidate runs over, you'll hear this.    Pleasant, no?    We also have a big crowd here with us tonight in the home of the Cavaliers, as I mentioned.    And while we expect them...         Somewhere there, we'll find a balance tonight.    Without further ado, let's begin.     "
"8","   Gentlemen, we know how much you love hand-raising questions.  So we promise, this is the only one tonight: the only one. Is there anyone on stage, and can I see hands, who is unwilling tonight to pledge your support to the eventual nominee of the Republican party and pledge to not run an independent campaign against that person.    Again, we're looking for you to raise your hand now -- raise your hand now if you won't make that pledge tonight.    Mr. Trump.         Mr. Trump to be clear, you're standing on a Republican primary debate stage.    "
"9","   The place where the RNC will give the nominee the nod.    "
"10","   And that experts say an independent run would almost certainly hand the race over to Democrats and likely another Clinton.    You can't say tonight that you can make that pledge?     "
"11","   So tonight, you can't say if another one of these...      "
"12","   OK.      "
"13","   Dr. Paul.      "
"14","   OK.      "
"15","   Just to be clear, you can't make a -- we're gonna -- we're going to move on.      You're not gonna make the pledge tonight?      "
"16","   OK.  Alright.            "
"17","   Gentlemen, our first round of questions is on the subject of electability in the general election, and we start tonight with you, Dr. Carson.      You are a successful neurosurgeon, but you admit that you have had to study up on foreign policy, saying there's a lot to learn.      Your critics say that your inexperience shows.  You've suggested that the Baltic States are not a part of NATO, just months ago you were unfamiliar with the major political parties and government in Israel, and domestically, you thought Alan Greenspan had been treasury secretary instead of federal reserve chair.      Aren't these basic mistakes, and don't they raise legitimate questions about whether you are ready to be president?      "
"18","   Governor Bush, you have insisted that you're your own man. You say you have a life experience uniquely your own.  Not your father's, not your brother's.      But there are several opponents on this stage who get big- applause lines in early voting states with this line: quote, ""the last thing the country needs is another Bush in the Oval Office.""      So do you understand the real concern in this country about dynastic politics?      "
"19","   Mr. Trump, one of the things people love about you is you speak your mind and you don't use a politician's filter.  However, that is not without its downsides, in particular, when it comes to women.     You've called women you don't like ""fat pigs, dogs, slobs, and disgusting animals.""          Your Twitter account...    "
"20","   No, it wasn't.         "
"21","   For the record, it was well beyond Rosie O'Donnell.    "
"22","   Your Twitter account has several disparaging comments about women's looks.  You once told a contestant on Celebrity Apprentice it would be a pretty picture to see her on her knees.  Does that sound to you like the temperament of a man we should elect as president, and how will you answer the charge from Hillary Clinton, who was likely to be the Democratic nominee, that you are part of the war on women?     "
"23","   Governor Christie, you're not exactly the darling of conservatives.  You tout your record as a Republican governor in a blue state.  On Facebook, the most people talking about you, not surprisingly, come from your state of New Jersey, and one of the top issues they are talking about is the economy.    This -- this may be why.  Under your watch, New Jersey has undergone nine credit rating downgrades.  The state's 44th in private sector growth.  You face an employee pension crisis and the Garden State has the third highest foreclosure rate in the country.  So why should voters believe that your management of the country's finances would be any different?     "
"24","   Governor Walker, you've consistently said that you want to make abortion illegal even in cases of rape, incest, or to save the life of the mother.  You recently signed an abortion law in Wisconsin that does have an exception for the mother's life, but you're on the record as having objected to it.  Would you really let a mother die rather than have an abortion, and with 83 percent of the American public in favor of a life exception, are you too out of the mainstream on this issue to win the general election?    "
"25","   Senator Paul, you recently blamed the rise of ISIS on Republican hawks.  You later said that that statement, you could have said it better.  But, the statement went on, and you said, quote, ""Everything they've talked about in foreign policy, they've been wrong for the last 20 years.""    Why are you so quick to blame your own party?    "
